iter	F1	Logloss
0	0.9199871371	0.5971488409
1	0.9384146882	0.5195836273
2	0.9475550303	0.4533267918
3	0.9481052663	0.4034784462
4	0.9470883831	0.3561677238
5	0.9495575221	0.3139541914
6	0.9521567704	0.2815203025
7	0.9542018413	0.2530232126
8	0.9554083885	0.2273869422
9	0.9563758389	0.2087498139
10	0.9568618226	0.1933080627
11	0.9587189658	0.1801957564
12	0.9599624005	0.1692311539
13	0.9610023768	0.157602017
14	0.9615271832	0.1493923482
15	0.9622597281	0.1411474738
16	0.963678969	0.1346715286
17	0.9648044038	0.1269677218
18	0.965022684	0.1221798745
19	0.9660337614	0.1169149671
20	0.9667417439	0.1120536575
21	0.9678079588	0.108091978
22	0.9692028986	0.1039577247
23	0.9698244384	0.09975398232
24	0.9704456515	0.09663943076
25	0.9723154118	0.09173016655
26	0.9727285985	0.08914222701
27	0.9731700204	0.08658312735
28	0.9743021968	0.08419627697
29	0.9745651604	0.08187891438
30	0.9753187031	0.07960186196
31	0.9760921412	0.07802098881
32	0.9759785959	0.07677955587
33	0.976418249	0.07433219558
34	0.9765034314	0.07270934338
35	0.9770064824	0.07096674491
36	0.9778849786	0.0687632193
37	0.9787629645	0.06677786
38	0.9794981996	0.06486131361
39	0.9795147465	0.06335076441
40	0.9802555168	0.0621744785
41	0.9803067271	0.06119669846
42	0.9810411404	0.06016003664
43	0.9812175226	0.05952526036
44	0.9813029846	0.05833325393
45	0.981570164	0.05762360328
46	0.9815986533	0.05677580639
47	0.9818603976	0.05613557741
48	0.9819458957	0.05518836584
49	0.9825885084	0.05441385631
50	0.9829977369	0.05330594422
51	0.9832356865	0.0526288006
52	0.9833782961	0.05186466124
53	0.9835827822	0.05111548335
54	0.9841674883	0.05048192335
55	0.9844289152	0.04977013121
56	0.9846617762	0.04895109019
57	0.9851602806	0.04837908335
58	0.9852459492	0.04754604062
59	0.985511446	0.04670642533
60	0.9858950966	0.04582985798
61	0.9864457831	0.04510731836
62	0.9863561311	0.04479366662
63	0.9867678142	0.04431189736
64	0.9866782508	0.04392117743
65	0.9868535356	0.04353991852
66	0.9870002027	0.04302097154
67	0.9872897304	0.04230403239
68	0.9876114392	0.0417811249
69	0.988107983	0.04128968828
70	0.9881365741	0.04087036066
71	0.988311538	0.04027024458
72	0.9886613444	0.03987631158
73	0.9885150577	0.03949858031
74	0.9887757464	0.0389435342
75	0.9887757464	0.03861854739
76	0.9889505959	0.03836252012
77	0.989154013	0.03793971665
78	0.9897384015	0.03758431714
79	0.9897354344	0.03696004366
80	0.9901419444	0.03668669597
81	0.9905196832	0.03630840055
82	0.9906655492	0.03607956064
83	0.991219963	0.03574983493
84	0.991188791	0.0353117981
85	0.9912148885	0.03473305117
86	0.9914490409	0.03451668348
87	0.9914490409	0.03428549756
88	0.9915636196	0.03376686416
89	0.9917665752	0.03337809255
90	0.9922319443	0.03279600205
91	0.9923179114	0.03251552844
92	0.9923465704	0.0321834174
93	0.9924920589	0.03198461028
94	0.9925207196	0.03166942805
95	0.9926353791	0.03129009125
96	0.9928381656	0.03095848104
97	0.9926927187	0.03070606843
98	0.9926927187	0.03039204042
99	0.992895512	0.03005281225
100	0.9930982702	0.02966333677
101	0.9931843124	0.02945580833
102	0.9933296757	0.02928604728
103	0.9934157329	0.02910014438
104	0.9935018051	0.02890582053
105	0.9933870455	0.02850292701
106	0.9937045166	0.028220909
107	0.9936471268	0.02800612853
108	0.9937637141	0.027749249
109	0.9941402303	0.02727476859
110	0.9942263279	0.02694351802
111	0.9941689279	0.02661316312
112	0.994428889	0.02649373109
113	0.9945150115	0.0262506746
114	0.9949502236	0.02596034617
115	0.9952100646	0.02565299851
116	0.9952962225	0.0253623318
117	0.9953249452	0.02518584152
118	0.995498615	0.02496738239
119	0.9956722447	0.02477495347
120	0.9957584326	0.02441673652
121	0.9958158996	0.02422579524
122	0.9957871653	0.02396233318
123	0.9960469746	0.02371564796
124	0.9961332025	0.0235398147
125	0.9961619485	0.02335173401
126	0.9961619485	0.02308199034
127	0.9963355166	0.02296874484
128	0.9963355166	0.02279720982
129	0.9963642659	0.02260428635
130	0.9964217695	0.02243540866
131	0.9963930169	0.02227136623
132	0.9964792797	0.02207797444
133	0.9966240586	0.02192300067
134	0.9966815755	0.02175516351
135	0.9969126006	0.02159368295
136	0.9969701342	0.02145418894
137	0.9969701342	0.02127918719
138	0.9969989034	0.02111341545
139	0.9970276744	0.02086150277
140	0.9973745708	0.0206884571
141	0.9972299169	0.02060152875
142	0.9972299169	0.02034508918
143	0.9973745708	0.02013574594
144	0.9974033468	0.0200312796
145	0.9974033468	0.01989082586
146	0.9975184672	0.01970753789
147	0.9975184672	0.01958127782
148	0.9975184672	0.01947225762
149	0.9974896846	0.01938547322
150	0.9976630795	0.01922794068
151	0.9976630795	0.01904203729
152	0.9976918638	0.01882179739
153	0.9977206498	0.01864688054
154	0.9978652204	0.01851411832
155	0.9977494374	0.0183308945
156	0.9979515882	0.01807264825
157	0.9981249099	0.01782432123
158	0.9981249099	0.01772892094
159	0.9981537041	0.01756134775
160	0.9982400969	0.01734611558
161	0.998355785	0.01725832423
162	0.9983845843	0.01707593819
163	0.9984709921	0.01696824599
164	0.998499798	0.01689631325
165	0.9985286056	0.01673575416
166	0.9985286056	0.01664242729
167	0.9985286056	0.01653038193
168	0.9985862258	0.01638546829
169	0.9986150384	0.01624696779
170	0.9985862258	0.01611186254
171	0.9985862258	0.01605215486
172	0.9986438526	0.01587210193
173	0.9985862258	0.01578523831
174	0.9985862258	0.01569226842
175	0.9985862258	0.01556983801
176	0.9987882984	0.01546723408
177	0.9987882984	0.01535908687
178	0.9988459319	0.01522727273
179	0.9988747511	0.01509430629
180	0.998903572	0.01500796264
181	0.9989323946	0.01488493479
182	0.9989612188	0.01471378943
183	0.9989323946	0.01459539784
184	0.9989900447	0.01451299605
185	0.9989612188	0.01439994608
186	0.9990188723	0.01428083691
187	0.9990188723	0.01420582303
188	0.9990188723	0.01415018555
189	0.9990188723	0.01403325034
190	0.9990477015	0.01395234483
191	0.9990477015	0.01388437948
192	0.9990477015	0.01379661829
193	0.9990477015	0.01369758064
194	0.9990477015	0.01361062388
195	0.9990765324	0.01351085142
196	0.9990765324	0.01333682695
197	0.9991053649	0.01325065297
198	0.9991053649	0.01320662372
199	0.9990765324	0.01309122714
200	0.9990765324	0.01305300635
201	0.9990765324	0.01296176956
202	0.9990765324	0.01290731128
203	0.999163035	0.01268474672
204	0.9991918725	0.01251915073
205	0.9992207117	0.01238112661
206	0.9992207117	0.01228094219
207	0.9992495526	0.01222640397
208	0.9992495526	0.01215071007
209	0.9992495526	0.01206868164
210	0.9993072393	0.01191334868
211	0.9992207117	0.01181817994
212	0.9992207117	0.01174240209
213	0.9992495526	0.01172072549
214	0.9992495526	0.01164932992
215	0.9992783952	0.01155329071
216	0.9992783952	0.01146767714
217	0.9993360852	0.01131229979
218	0.9992783952	0.01121114536
219	0.9992783952	0.01114494244
220	0.9993360852	0.01103342316
221	0.9993649327	0.01096406316
222	0.9993072393	0.01081650495
223	0.9993360852	0.01071418691
224	0.9993649327	0.01059688646
225	0.9994226328	0.01054271687
226	0.9994226328	0.01047613496
227	0.9994226328	0.01044201747
228	0.9994226328	0.01040760874
229	0.9994226328	0.01037987869
230	0.9994226328	0.01028292909
231	0.9994514853	0.01017158723
232	0.9994514853	0.01012610974
233	0.9994514853	0.01010253228
234	0.9994514853	0.01007487844
235	0.9994514853	0.009999962691
236	0.9994514853	0.009952895107
237	0.9994514853	0.009854436099
238	0.9994514853	0.009765248757
239	0.9994514853	0.009712240103
240	0.9994514853	0.009700953454
241	0.9994514853	0.009647512521
242	0.9994514853	0.009587973453
243	0.9994514853	0.009554637975
244	0.9994803395	0.009506211408
245	0.9994803395	0.009423429067
246	0.9995091954	0.009367901159
247	0.9995091954	0.00929353028
248	0.9995091954	0.009267941159
249	0.9995669121	0.009195748977
250	0.9995669121	0.00916752313
251	0.9995669121	0.009065526399
252	0.9995957729	0.009034573115
253	0.9995669121	0.008979768277
254	0.9995957729	0.008951896669
255	0.9995957729	0.008916029007
256	0.9995957729	0.008906626446
257	0.9995957729	0.008885049569
258	0.9996534997	0.008793130594
259	0.9996246355	0.008754495639
260	0.9996246355	0.008740770761
261	0.9995957729	0.008661308112
262	0.9995957729	0.008600181944
263	0.9995957729	0.008567348066
264	0.9995957729	0.008528362475
265	0.9995957729	0.008491744659
266	0.9995957729	0.008410578594
267	0.9995957729	0.008386462061
268	0.9995957729	0.008353074793
269	0.9995957729	0.008311735639
270	0.9995957729	0.008232896108
271	0.9996246355	0.008203981091
272	0.9996246355	0.008135313244
273	0.9996246355	0.008099256278
274	0.9996246355	0.008031490864
275	0.9996246355	0.008011827388
276	0.9996246355	0.007966082592
277	0.9996246355	0.007867777763
278	0.9996246355	0.007832289125
279	0.9996246355	0.007811180542
280	0.9996823655	0.007751981758
281	0.9996823655	0.007734967456
282	0.9996823655	0.007694808866
283	0.9996823655	0.007640590782
284	0.9996534997	0.007616857582
285	0.9996534997	0.007555411504
286	0.9996534997	0.007537180546
287	0.9996534997	0.007478076125
